GuauL953	3929085	3227056	0.821	349	343	343	337	325	312	0	2
GuauL955	3469023	2792932	0.805	348	343	343	336	324	309	0	0
GubrL362	2095534	1720762	0.821	349	333	333	326	314	300	0	4
GuduL949	4293143	3666556	0.854	350	345	343	336	325	310	0	4
GuelL784	2606504	2124274	0.815	346	343	343	337	325	311	0	4
GuheL091	2734468	2341886	0.856	352	344	343	336	325	307	0	0
GuheL849	5147432	4222656	0.820	347	344	343	336	325	311	0	1
GuhuL950	3072382	2471331	0.804	346	343	343	337	326	310	0	4
GujoL945	2999379	2477814	0.826	346	343	343	337	324	312	0	6
GuloL904	3735575	3224322	0.863	347	343	343	337	325	310	0	3
GuloL931	3135174	2537248	0.809	350	332	332	326	315	302	0	4
GuloL948	5541482	4690948	0.847	347	344	343	337	325	308	0	6
GumaL046	2391151	1977567	0.827	348	330	330	323	312	298	0	4
GumoF017	5372445	4522440	0.842	350	343	343	337	325	311	0	3
GunaL544	4243412	3434900	0.809	350	343	343	337	324	310	0	2
GupeL937	2321323	1972091	0.850	348	343	343	337	325	308	0	3
GupoL869	2374610	1993348	0.839	348	343	342	334	324	309	0	2
GupuLA06	2963270	2472762	0.834	349	336	336	329	318	304	0	3
GuseLA02	4904300	4096883	0.835	350	331	331	325	313	298	0	3
GugrL935	2441015	2028224	0.831	345	334	334	327	316	300	0	3
GuspL237	3695931	3074358	0.832	350	343	343	337	324	309	0	6
GusuL266	4354523	3670256	0.843	348	340	340	334	322	307	0	3
LealL025	2605517	2197935	0.844	348	338	338	332	316	290	0	3
LeamL313	4302236	3640333	0.846	351	344	343	336	322	305	0	3
LebaL782	1927627	1500535	0.778	346	339	338	332	320	296	0	1
LeroL969	3777461	3210702	0.850	348	343	342	336	322	294	0	4
LecoL026	3765157	3340665	0.887	350	343	343	337	323	290	0	1
LecoL235	2412906	1944402	0.806	348	333	333	327	313	290	0	3
LecoL029	2015577	1730186	0.858	347	338	338	332	320	294	0	1
LegrL808	2746427	2271365	0.827	347	332	332	326	311	288	0	3
LehoL284	2569466	2103893	0.819	349	339	339	332	320	296	0	4
LeidL089	4907135	4256678	0.867	353	342	340	334	319	296	0	2
LelaL516	3850949	3143635	0.816	347	338	338	333	318	295	0	1
LeluL413	1910821	1556508	0.815	346	330	330	324	311	289	0	1
LemaL450	2174337	1892583	0.870	346	343	343	337	321	296	0	3
LemeL360	4353362	3547829	0.815	347	343	343	338	324	301	0	3
LemiL274	3279313	2785976	0.850	352	334	334	328	314	290	0	3
LepaL790	2835318	2271662	0.801	347	343	343	337	323	299	0	2
LepeL080	3974221	3374575	0.849	350	344	343	339	326	295	0	3
LepiL668	1980846	1612996	0.814	344	331	331	325	311	289	0	1
LepiL769	2458888	2038879	0.829	346	331	331	324	311	288	0	1
LepiL966	3582698	3080796	0.860	349	343	343	336	322	301	0	2
LepnL320	2453586	2040454	0.832	348	345	343	337	324	296	0	2
LepoL281	3321479	2823492	0.850	346	343	343	336	322	299	0	3
LeprL674	3244283	2626646	0.810	345	343	343	337	325	302	0	4
LereL983	2434299	1934966	0.795	349	323	322	316	303	282	0	2
LescL411	7205242	6153578	0.854	348	345	343	337	318	286	0	11
LesiL278	4139527	3554611	0.859	351	344	343	337	322	295	0	2
LeprL325	3680482	2939663	0.799	347	332	332	327	312	292	0	4
EsapL409	3597524	2927253	0.814	347	343	343	336	324	301	0	2
EscoL483	3444924	2829947	0.821	347	343	343	336	323	298	0	3
LebrL683	2018620	1618510	0.802	346	328	328	322	307	288	0	1
CamiL776	2481334	1990400	0.802	347	340	340	335	319	296	0	1
LespL734	2260479	1840310	0.814	349	335	335	327	316	294	1	4
LespL735	3166846	2575262	0.813	345	343	343	337	323	303	0	1
LespL679	3258470	2816862	0.864	349	337	336	329	315	284	0	4
EsspL795	4649329	3900403	0.839	349	344	343	336	325	303	0	2
LezaL298	2980690	2653284	0.890	349	343	343	337	321	296	0	1
LezaL870	3051413	2406651	0.789	344	341	341	335	322	302	0	5
NaimF033	792809	528528	0.667	346	328	272	249	200	115	0	0
NavoL257	2147615	1620233	0.754	348	331	274	250	201	110	0	3
